AGE,AGE_GROUP_5,CCG_CODE,CCG_NAME,CODE,COMM_REGION_CODE,COMM_REGION_NAME,EXTRACT_DATE,NUMBER_OF_PATIENTS,ONS_CCG_CODE,ONS_CODE,ONS_COMM_REGION_CODE,ONS_REGION_CODE,ORG_CODE,ORG_TYPE,POSTCODE,PRACTICE_CODE,PRACTICE_NAME,PRACTICE_POSTCODE,PUBLICATION,REGION_CODE,REGION_NAME,SEX,STP_CODE,STP_NAME,TYPE
ALL,,00J,,A83028,,,01DEC2019,9531.0,E38000116,,,,,,DH3 3QD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83029,,,01DEC2019,4957.0,E38000116,,,,,,DH3 4LE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83030,,,01DEC2019,13326.0,E38000116,,,,,,DH7 7DG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83033,,,01DEC2019,8987.0,E38000116,,,,,,DH2 1HS,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83036,,,01DEC2019,11096.0,E38000116,,,,,,DH1 5BH,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83038,,,01DEC2019,5792.0,E38000116,,,,,,NE16 6HU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83049,,,01DEC2019,13960.0,E38000116,,,,,,DH8 0BW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83050,,,01DEC2019,12579.0,E38000116,,,,,,DH2 3DJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83055,,,01DEC2019,4438.0,E38000116,,,,,,DH1 2UW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83072,,,01DEC2019,4218.0,E38000116,,,,,,DH7 0LP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83073,,,01DEC2019,5106.0,E38000116,,,,,,DH9 7XT,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83617,,,01DEC2019,2622.0,E38000116,,,,,,DH7 9YT,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83618,,,01DEC2019,7439.0,E38000116,,,,,,NE17 7SB,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83622,,,01DEC2019,1639.0,E38000116,,,,,,DH7 0BD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83630,,,01DEC2019,2369.0,E38000116,,,,,,DH7 8SJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83632,,,01DEC2019,2296.0,E38000116,,,,,,DH9 6AN,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83635,,,01DEC2019,4094.0,E38000116,,,,,,DH6 5AL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83636,,,01DEC2019,6015.0,E38000116,,,,,,DH8 6DP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83637,,,01DEC2019,2127.0,E38000116,,,,,,DH2 2NJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83644,,,01DEC2019,3552.0,E38000116,,,,,,DH9 7TD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81001,,,01DEC2019,4097.0,E38000075,,,,,,TS18 1HU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81002,,,01DEC2019,19304.0,E38000075,,,,,,TS18 2AW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81006,,,01DEC2019,14779.0,E38000075,,,,,,TS18 2AT,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81007,,,01DEC2019,9902.0,E38000075,,,,,,TS24 7PW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81011,,,01DEC2019,11823.0,E38000075,,,,,,TS24 7PW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81014,,,01DEC2019,3838.0,E38000075,,,,,,TS23 2LA,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81017,,,01DEC2019,18891.0,E38000075,,,,,,TS17 0EE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81025,,,01DEC2019,4086.0,E38000075,,,,,,TS18 1HU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81027,,,01DEC2019,15301.0,E38000075,,,,,,TS15 9DD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81031,,,01DEC2019,12856.0,E38000075,,,,,,TS24 7PW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81034,,,01DEC2019,22230.0,E38000075,,,,,,TS17 0EE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81036,,,01DEC2019,17568.0,E38000075,,,,,,TS20 2UZ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81039,,,01DEC2019,10736.0,E38000075,,,,,,TS16 9EA,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81040,,,01DEC2019,8555.0,E38000075,,,,,,TS23 2DG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81041,,,01DEC2019,9272.0,E38000075,,,,,,TS24 9DN,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81044,,,01DEC2019,18706.0,E38000075,,,,,,TS25 1QU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81046,,,01DEC2019,12376.0,E38000075,,,,,,TS18 1YE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81056,,,01DEC2019,2579.0,E38000075,,,,,,TS23 2JW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81057,,,01DEC2019,9065.0,E38000075,,,,,,TS23 2LS,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81060,,,01DEC2019,5788.0,E38000075,,,,,,TS26 8DB,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81063,,,01DEC2019,5546.0,E38000075,,,,,,TS24 0NZ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81066,,,01DEC2019,4705.0,E38000075,,,,,,TS21 1JS,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81067,,,01DEC2019,11978.0,E38000075,,,,,,TS18 2BP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81070,,,01DEC2019,7037.0,E38000075,,,,,,TS25 3DQ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81602,,,01DEC2019,2433.0,E38000075,,,,,,TS23 2DG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81608,,,01DEC2019,5179.0,E38000075,,,,,,TS17 6PG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81610,,,01DEC2019,7848.0,E38000075,,,,,,TS23 2DG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81612,,,01DEC2019,3429.0,E38000075,,,,,,TS25 1AX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81622,,,01DEC2019,5537.0,E38000075,,,,,,TS26 8DF,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81629,,,01DEC2019,4763.0,E38000075,,,,,,TS18 2AP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81631,,,01DEC2019,6819.0,E38000075,,,,,,TS24 9LJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00K,,A81634,,,01DEC2019,2389.0,E38000075,,,,,,TS18 2EP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84002,,,01DEC2019,5859.0,E38000130,,,,,,NE65 7UW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84003,,,01DEC2019,13611.0,E38000130,,,,,,NE63 9UT,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84005,,,01DEC2019,12049.0,E38000130,,,,,,NE22 6JX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84006,,,01DEC2019,18580.0,E38000130,,,,,,NE66 2NL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84007,,,01DEC2019,9993.0,E38000130,,,,,,NE20 9SD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84008,,,01DEC2019,4490.0,E38000130,,,,,,NE70 7ER,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84009,,,01DEC2019,26511.0,E38000130,,,,,,NE24 1HD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84011,,,01DEC2019,7542.0,E38000130,,,,,,NE20 9SD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84013,,,01DEC2019,6201.0,E38000130,,,,,,NE22 7DU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84014,,,01DEC2019,12671.0,E38000130,,,,,,NE24 1DX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84015,,,01DEC2019,2470.0,E38000130,,,,,,NE63 0XX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84016,,,01DEC2019,6844.0,E38000130,,,,,,NE42 5PW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84018,,,01DEC2019,7025.0,E38000130,,,,,,NE45 5LG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84020,,,01DEC2019,8096.0,E38000130,,,,,,NE62 5RA,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84022,,,01DEC2019,11950.0,E38000130,,,,,,NE65 0HD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84024,,,01DEC2019,9738.0,E38000130,,,,,,NE46 1QJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84025,,,01DEC2019,4881.0,E38000130,,,,,,NE23 6QN,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84026,,,01DEC2019,8995.0,E38000130,,,,,,TD15 1LL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84027,,,01DEC2019,3380.0,E38000130,,,,,,NE48 2HE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84028,,,01DEC2019,17899.0,E38000130,,,,,,NE63 0NG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84029,,,01DEC2019,2654.0,E38000130,,,,,,NE61 5LX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84030,,,01DEC2019,9503.0,E38000130,,,,,,NE23 6US,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84031,,,01DEC2019,9684.0,E38000130,,,,,,NE61 1JX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84032,,,01DEC2019,2429.0,E38000130,,,,,,NE71 6BL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84033,,,01DEC2019,6038.0,E38000130,,,,,,NE46 1QJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84034,,,01DEC2019,5582.0,E38000130,,,,,,NE49 9AP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84035,,,01DEC2019,6099.0,E38000130,,,,,,NE41 8DH,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84036,,,01DEC2019,19115.0,E38000130,,,,,,NE61 1BJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84037,,,01DEC2019,5996.0,E38000130,,,,,,NE23 7EF,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84038,,,01DEC2019,6559.0,E38000130,,,,,,NE23 6QN,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84039,,,01DEC2019,5692.0,E38000130,,,,,,NE61 1JX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84040,,,01DEC2019,3638.0,E38000130,,,,,,NE46 4BU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84042,,,01DEC2019,2107.0,E38000130,,,,,,NE61 4EG,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84043,,,01DEC2019,17009.0,E38000130,,,,,,NE23 1XZ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84044,,,01DEC2019,7232.0,E38000130,,,,,,TD15 2HB,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84045,,,01DEC2019,5320.0,E38000130,,,,,,NE47 6LA,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84047,,,01DEC2019,5372.0,E38000130,,,,,,NE43 7LL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84604,,,01DEC2019,2233.0,E38000130,,,,,,NE71 6BL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84609,,,01DEC2019,1636.0,E38000130,,,,,,NE65 9PR,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84614,,,01DEC2019,1947.0,E38000130,,,,,,NE42 5HR,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00L,,A84619,,,01DEC2019,3780.0,E38000130,,,,,,NE25 0BW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00M,,A81004,,,01DEC2019,10940.0,E38000162,,,,,,TS5 8SB,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00M,,A81005,,,01DEC2019,8099.0,E38000162,,,,,,TS14 7DJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00M,,A81009,,,01DEC2019,8487.0,E38000162,,,,,,TS5 6HF,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00M,,A81012,,,01DEC2019,5084.0,E38000162,,,,,,TS3 6AL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00M,,A81013,,,01DEC2019,6718.0,E38000162,,,,,,TS12 2FF,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00M,,A81016,,,01DEC2019,10422.0,E38000162,,,,,,TS1 3QY,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
